ano;mes;grupo;uf;servico;taxa_resolvidas_5_dias
2019;1;Indicador de Desempenho no Atendimento (IDA);ALGAR;SCM;58.09
2019;1;Indicador de Desempenho no Atendimento (IDA);NET;SCM;77.41
2019;1;Indicador de Desempenho no Atendimento (IDA);OI;SCM;47.4
2019;1;Indicador de Desempenho no Atendimento (IDA);SERCOMTEL;SCM;83.83
2019;1;Indicador de Desempenho no Atendimento (IDA);SKY;SCM;26.42
2019;1;Indicador de Desempenho no Atendimento (IDA);TIM;SCM;0.0
2019;1;Indicador de Desempenho no Atendimento (IDA);VIVO;SCM;62.86
2019;1;Índice de Reclamações;ALGAR;SCM;1.85
2019;1;Índice de Reclamações;NET;SCM;1.3
2019;1;Índice de Reclamações;OI;SCM;2.28
2019;1;Índice de Reclamações;SERCOMTEL;SCM;0.18
2019;1;Índice de Reclamações;SKY;SCM;3.34
2019;1;Índice de Reclamações;TIM;SCM;19.09
2019;1;Índice de Reclamações;VIVO;SCM;1.89
2019;1;Quantidade de acessos em serviço;ALGAR;SCM;581405.0
2019;1;Quantidade de acessos em serviço;NET;SCM;9372372.0
2019;1;Quantidade de acessos em serviço;OI;SCM;5942508.0
2019;1;Quantidade de acessos em serviço;SERCOMTEL;SCM;309973.0
2019;1;Quantidade de acessos em serviço;SKY;SCM;352367.0
2019;1;Quantidade de acessos em serviço;TIM;SCM;493356.0
2019;1;Quantidade de acessos em serviço;VIVO;SCM;7561152.0
2019;1;Quantidade de reabertas;ALGAR;SCM;85.0
2019;1;Quantidade de reabertas;NET;SCM;906.0
2019;1;Quantidade de reabertas;OI;SCM;1156.0
2019;1;Quantidade de reabertas;SERCOMTEL;SCM;6.0
2019;1;Quantidade de reabertas;SKY;SCM;37.0
2019;1;Quantidade de reabertas;TIM;SCM;1493.0
2019;1;Quantidade de reabertas;VIVO;SCM;835.0
2019;1;Quantidade de reclamações;ALGAR;SCM;1077.0
2019;1;Quantidade de reclamações;NET;SCM;12219.0
2019;1;Quantidade de reclamações;OI;SCM;13552.0
2019;1;Quantidade de reclamações;SERCOMTEL;SCM;57.0
2019;1;Quantidade de reclamações;SKY;SCM;1178.0
2019;1;Quantidade de reclamações;TIM;SCM;9416.0
2019;1;Quantidade de reclamações;VIVO;SCM;14257.0
2019;1;Quantidade de Reclamações no Período;ALGAR;SCM;2400.0
2019;1;Quantidade de Reclamações no Período;NET;SCM;25706.0
2019;1;Quantidade de Reclamações no Período;OI;SCM;33980.0
2019;1;Quantidade de Reclamações no Período;SERCOMTEL;SCM;135.0
2019;1;Quantidade de Reclamações no Período;SKY;SCM;2871.0
2019;1;Quantidade de Reclamações no Período;TIM;SCM;20886.0
2019;1;Quantidade de Reclamações no Período;VIVO;SCM;33233.0
2019;1;Quantidade de Respondidas;ALGAR;SCM;1077.0
2019;1;Quantidade de Respondidas;NET;SCM;12099.0
2019;1;Quantidade de Respondidas;OI;SCM;12938.0
2019;1;Quantidade de Respondidas;SERCOMTEL;SCM;55.0
2019;1;Quantidade de Respondidas;SKY;SCM;1178.0
2019;1;Quantidade de Respondidas;TIM;SCM;9398.0
2019;1;Quantidade de Respondidas;VIVO;SCM;14239.0
2019;1;Quantidade de Sol. Respondidas em até 5 dias;ALGAR;SCM;896.0
2019;1;Quantidade de Sol. Respondidas em até 5 dias;NET;SCM;10450.0
2019;1;Quantidade de Sol. Respondidas em até 5 dias;OI;SCM;11538.0
2019;1;Quantidade de Sol. Respondidas em até 5 dias;SERCOMTEL;SCM;41.0
2019;1;Quantidade de Sol. Respondidas em até 5 dias;SKY;SCM;1034.0
2019;1;Quantidade de Sol. Respondidas em até 5 dias;TIM;SCM;7821.0
2019;1;Quantidade de Sol. Respondidas em até 5 dias;VIVO;SCM;12186.0
2019;1;Quantidade de Sol. Respondidas no Período;ALGAR;SCM;2400.0
2019;1;Quantidade de Sol. Respondidas no Período;NET;SCM;25651.0
2019;1;Quantidade de Sol. Respondidas no Período;OI;SCM;33956.0
2019;1;Quantidade de Sol. Respondidas no Período;SERCOMTEL;SCM;135.0
2019;1;Quantidade de Sol. Respondidas no Período;SKY;SCM;2869.0
2019;1;Quantidade de Sol. Respondidas no Período;TIM;SCM;20268.0
2019;1;Quantidade de Sol. Respondidas no Período;VIVO;SCM;33095.0
2019;1;Taxa de Reabertas;ALGAR;SCM;7.89
2019;1;Taxa de Reabertas;NET;SCM;7.49
2019;1;Taxa de Reabertas;OI;SCM;8.93
2019;1;Taxa de Reabertas;SERCOMTEL;SCM;10.91
2019;1;Taxa de Reabertas;SKY;SCM;3.14
2019;1;Taxa de Reabertas;TIM;SCM;15.89
2019;1;Taxa de Reabertas;VIVO;SCM;5.86
2019;1;Taxa de Respondidas em 5 dias Úteis;ALGAR;SCM;83.19
2019;1;Taxa de Respondidas em 5 dias Úteis;NET;SCM;85.52
2019;1;Taxa de Respondidas em 5 dias Úteis;OI;SCM;85.14
2019;1;Taxa de Respondidas em 5 dias Úteis;SERCOMTEL;SCM;71.93
2019;1;Taxa de Respondidas em 5 dias Úteis;SKY;SCM;87.78
2019;1;Taxa de Respondidas em 5 dias Úteis;TIM;SCM;83.06
2019;1;Taxa de Respondidas em 5 dias Úteis;VIVO;SCM;85.47
2019;1;Taxa de Respondidas no Período;ALGAR;SCM;100.0
2019;1;Taxa de Respondidas no Período;NET;SCM;99.79
2019;1;Taxa de Respondidas no Período;OI;SCM;99.93
2019;1;Taxa de Respondidas no Período;SERCOMTEL;SCM;100.0
2019;1;Taxa de Respondidas no Período;SKY;SCM;99.93
2019;1;Taxa de Respondidas no Período;TIM;SCM;97.04
2019;1;Taxa de Respondidas no Período;VIVO;SCM;99.58
2019;2;Indicador de Desempenho no Atendimento (IDA);ALGAR;SCM;81.55
2019;2;Indicador de Desempenho no Atendimento (IDA);NET;SCM;78.42
2019;2;Indicador de Desempenho no Atendimento (IDA);OI;SCM;53.93
2019;2;Indicador de Desempenho no Atendimento (IDA);SERCOMTEL;SCM;78.39
2019;2;Indicador de Desempenho no Atendimento (IDA);SKY;SCM;34.48
2019;2;Indicador de Desempenho no Atendimento (IDA);TIM;SCM;0.0
2019;2;Indicador de Desempenho no Atendimento (IDA);VIVO;SCM;69.58
2019;2;Índice de Reclamações;ALGAR;SCM;1.14
2019;2;Índice de Reclamações;NET;SCM;1.26
2019;2;Índice de Reclamações;OI;SCM;2.03
2019;2;Índice de Reclamações;SERCOMTEL;SCM;0.21
2019;2;Índice de Reclamações;SKY;SCM;3.02
2019;2;Índice de Reclamações;TIM;SCM;16.88
2019;2;Índice de Reclamações;VIVO;SCM;1.62
2019;2;Quantidade de acessos em serviço;ALGAR;SCM;584295.0
2019;2;Quantidade de acessos em serviço;NET;SCM;9401954.0
2019;2;Quantidade de acessos em serviço;OI;SCM;5879897.0
2019;2;Quantidade de acessos em serviço;SERCOMTEL;SCM;307567.0
2019;2;Quantidade de acessos em serviço;SKY;SCM;344929.0
2019;2;Quantidade de acessos em serviço;TIM;SCM;498047.0
2019;2;Quantidade de acessos em serviço;VIVO;SCM;7532822.0
2019;2;Quantidade de reabertas;ALGAR;SCM;38.0
2019;2;Quantidade de reabertas;NET;SCM;887.0
2019;2;Quantidade de reabertas;OI;SCM;976.0
2019;2;Quantidade de reabertas;SERCOMTEL;SCM;8.0
2019;2;Quantidade de reabertas;SKY;SCM;40.0
2019;2;Quantidade de reabertas;TIM;SCM;1426.0
2019;2;Quantidade de reabertas;VIVO;SCM;733.0
2019;2;Quantidade de reclamações;ALGAR;SCM;665.0
2019;2;Quantidade de reclamações;NET;SCM;11877.0
2019;2;Quantidade de reclamações;OI;SCM;11947.0
2019;2;Quantidade de reclamações;SERCOMTEL;SCM;66.0
2019;2;Quantidade de reclamações;SKY;SCM;1042.0
2019;2;Quantidade de reclamações;TIM;SCM;8406.0
2019;2;Quantidade de reclamações;VIVO;SCM;12178.0
2019;2;Quantidade de Reclamações no Período;ALGAR;SCM;2897.0
2019;2;Quantidade de Reclamações no Período;NET;SCM;29332.0
2019;2;Quantidade de Reclamações no Período;OI;SCM;35344.0
2019;2;Quantidade de Reclamações no Período;SERCOMTEL;SCM;136.0
2019;2;Quantidade de Reclamações no Período;SKY;SCM;3009.0
2019;2;Quantidade de Reclamações no Período;TIM;SCM;22953.0
2019;2;Quantidade de Reclamações no Período;VIVO;SCM;35414.0
2019;2;Quantidade de Respondidas;ALGAR;SCM;665.0
2019;2;Quantidade de Respondidas;NET;SCM;11715.0
2019;2;Quantidade de Respondidas;OI;SCM;11556.0
2019;2;Quantidade de Respondidas;SERCOMTEL;SCM;59.0
2019;2;Quantidade de Respondidas;SKY;SCM;1042.0
2019;2;Quantidade de Respondidas;TIM;SCM;8313.0
2019;2;Quantidade de Respondidas;VIVO;SCM;12176.0
2019;2;Quantidade de Sol. Respondidas em até 5 dias;ALGAR;SCM;579.0
2019;2;Quantidade de Sol. Respondidas em até 5 dias;NET;SCM;10182.0
2019;2;Quantidade de Sol. Respondidas em até 5 dias;OI;SCM;10253.0
2019;2;Quantidade de Sol. Respondidas em até 5 dias;SERCOMTEL;SCM;40.0
2019;2;Quantidade de Sol. Respondidas em até 5 dias;SKY;SCM;906.0
2019;2;Quantidade de Sol. Respondidas em até 5 dias;TIM;SCM;6778.0
2019;2;Quantidade de Sol. Respondidas em até 5 dias;VIVO;SCM;10455.0
2019;2;Quantidade de Sol. Respondidas no Período;ALGAR;SCM;2897.0
2019;2;Quantidade de Sol. Respondidas no Período;NET;SCM;29269.0
2019;2;Quantidade de Sol. Respondidas no Período;OI;SCM;35317.0
2019;2;Quantidade de Sol. Respondidas no Período;SERCOMTEL;SCM;136.0
2019;2;Quantidade de Sol. Respondidas no Período;SKY;SCM;3007.0
2019;2;Quantidade de Sol. Respondidas no Período;TIM;SCM;21912.0
2019;2;Quantidade de Sol. Respondidas no Período;VIVO;SCM;35266.0
2019;2;Taxa de Reabertas;ALGAR;SCM;5.71
2019;2;Taxa de Reabertas;NET;SCM;7.57
2019;2;Taxa de Reabertas;OI;SCM;8.45
2019;2;Taxa de Reabertas;SERCOMTEL;SCM;13.56
2019;2;Taxa de Reabertas;SKY;SCM;3.84
2019;2;Taxa de Reabertas;TIM;SCM;17.15
2019;2;Taxa de Reabertas;VIVO;SCM;6.02
2019;2;Taxa de Respondidas em 5 dias Úteis;ALGAR;SCM;87.07
2019;2;Taxa de Respondidas em 5 dias Úteis;NET;SCM;85.73
2019;2;Taxa de Respondidas em 5 dias Úteis;OI;SCM;85.82
2019;2;Taxa de Respondidas em 5 dias Úteis;SERCOMTEL;SCM;60.61
2019;2;Taxa de Respondidas em 5 dias Úteis;SKY;SCM;86.95
2019;2;Taxa de Respondidas em 5 dias Úteis;TIM;SCM;80.63
2019;2;Taxa de Respondidas em 5 dias Úteis;VIVO;SCM;85.85
2019;2;Taxa de Respondidas no Período;ALGAR;SCM;100.0
2019;2;Taxa de Respondidas no Período;NET;SCM;99.78
2019;2;Taxa de Respondidas no Período;OI;SCM;99.92
2019;2;Taxa de Respondidas no Período;SERCOMTEL;SCM;100.0
2019;2;Taxa de Respondidas no Período;SKY;SCM;99.93
2019;2;Taxa de Respondidas no Período;TIM;SCM;95.47
2019;2;Taxa de Respondidas no Período;VIVO;SCM;99.58
2019;3;Indicador de Desempenho no Atendimento (IDA);ALGAR;SCM;70.24
2019;3;Indicador de Desempenho no Atendimento (IDA);NET;SCM;79.27
2019;3;Indicador de Desempenho no Atendimento (IDA);OI;SCM;52.07
2019;3;Indicador de Desempenho no Atendimento (IDA);SERCOMTEL;SCM;69.08
2019;3;Indicador de Desempenho no Atendimento (IDA);SKY;SCM;35.27
2019;3;Indicador de Desempenho no Atendimento (IDA);TIM;SCM;0.0
2019;3;Indicador de Desempenho no Atendimento (IDA);VIVO;SCM;68.49
2019;3;Índice de Reclamações;ALGAR;SCM;1.39
2019;3;Índice de Reclamações;NET;SCM;1.23
2019;3;Índice de Reclamações;OI;SCM;2.1
2019;3;Índice de Reclamações;SERCOMTEL;SCM;0.19
2019;3;Índice de Reclamações;SKY;SCM;2.99
2019;3;Índice de Reclamações;TIM;SCM;21.15
2019;3;Índice de Reclamações;VIVO;SCM;1.66
2019;3;Quantidade de acessos em serviço;ALGAR;SCM;584295.0
2019;3;Quantidade de acessos em serviço;NET;SCM;9401954.0
2019;3;Quantidade de acessos em serviço;OI;SCM;5879897.0
2019;3;Quantidade de acessos em serviço;SERCOMTEL;SCM;307567.0
2019;3;Quantidade de acessos em serviço;SKY;SCM;344929.0
2019;3;Quantidade de acessos em serviço;TIM;SCM;498047.0
2019;3;Quantidade de acessos em serviço;VIVO;SCM;7532822.0
2019;3;Quantidade de reabertas;ALGAR;SCM;61.0
2019;3;Quantidade de reabertas;NET;SCM;860.0
2019;3;Quantidade de reabertas;OI;SCM;1027.0
2019;3;Quantidade de reabertas;SERCOMTEL;SCM;6.0
2019;3;Quantidade de reabertas;SKY;SCM;44.0
2019;3;Quantidade de reabertas;TIM;SCM;1967.0
2019;3;Quantidade de reabertas;VIVO;SCM;715.0
2019;3;Quantidade de reclamações;ALGAR;SCM;811.0
2019;3;Quantidade de reclamações;NET;SCM;11557.0
2019;3;Quantidade de reclamações;OI;SCM;12329.0
2019;3;Quantidade de reclamações;SERCOMTEL;SCM;57.0
2019;3;Quantidade de reclamações;SKY;SCM;1031.0
2019;3;Quantidade de reclamações;TIM;SCM;10532.0
2019;3;Quantidade de reclamações;VIVO;SCM;12509.0
2019;3;Quantidade de Reclamações no Período;ALGAR;SCM;2665.0
2019;3;Quantidade de Reclamações no Período;NET;SCM;32607.0
2019;3;Quantidade de Reclamações no Período;OI;SCM;36057.0
2019;3;Quantidade de Reclamações no Período;SERCOMTEL;SCM;157.0
2019;3;Quantidade de Reclamações no Período;SKY;SCM;3116.0
2019;3;Quantidade de Reclamações no Período;TIM;SCM;24538.0
2019;3;Quantidade de Reclamações no Período;VIVO;SCM;36823.0
2019;3;Quantidade de Respondidas;ALGAR;SCM;811.0
2019;3;Quantidade de Respondidas;NET;SCM;11008.0
2019;3;Quantidade de Respondidas;OI;SCM;11657.0
2019;3;Quantidade de Respondidas;SERCOMTEL;SCM;52.0
2019;3;Quantidade de Respondidas;SKY;SCM;1031.0
2019;3;Quantidade de Respondidas;TIM;SCM;10523.0
2019;3;Quantidade de Respondidas;VIVO;SCM;12505.0
2019;3;Quantidade de Sol. Respondidas em até 5 dias;ALGAR;SCM;688.0
2019;3;Quantidade de Sol. Respondidas em até 5 dias;NET;SCM;9905.0
2019;3;Quantidade de Sol. Respondidas em até 5 dias;OI;SCM;10601.0
2019;3;Quantidade de Sol. Respondidas em até 5 dias;SERCOMTEL;SCM;23.0
2019;3;Quantidade de Sol. Respondidas em até 5 dias;SKY;SCM;888.0
2019;3;Quantidade de Sol. Respondidas em até 5 dias;TIM;SCM;8501.0
2019;3;Quantidade de Sol. Respondidas em até 5 dias;VIVO;SCM;10794.0
2019;3;Quantidade de Sol. Respondidas no Período;ALGAR;SCM;2665.0
2019;3;Quantidade de Sol. Respondidas no Período;NET;SCM;32546.0
2019;3;Quantidade de Sol. Respondidas no Período;OI;SCM;36044.0
2019;3;Quantidade de Sol. Respondidas no Período;SERCOMTEL;SCM;154.0
2019;3;Quantidade de Sol. Respondidas no Período;SKY;SCM;3115.0
2019;3;Quantidade de Sol. Respondidas no Período;TIM;SCM;24456.0
2019;3;Quantidade de Sol. Respondidas no Período;VIVO;SCM;36683.0
2019;3;Taxa de Reabertas;ALGAR;SCM;7.52
2019;3;Taxa de Reabertas;NET;SCM;7.81
2019;3;Taxa de Reabertas;OI;SCM;8.81
2019;3;Taxa de Reabertas;SERCOMTEL;SCM;11.54
2019;3;Taxa de Reabertas;SKY;SCM;4.27
2019;3;Taxa de Reabertas;TIM;SCM;18.69
2019;3;Taxa de Reabertas;VIVO;SCM;5.72
2019;3;Taxa de Respondidas em 5 dias Úteis;ALGAR;SCM;84.83
2019;3;Taxa de Respondidas em 5 dias Úteis;NET;SCM;85.71
2019;3;Taxa de Respondidas em 5 dias Úteis;OI;SCM;85.98
2019;3;Taxa de Respondidas em 5 dias Úteis;SERCOMTEL;SCM;40.35
2019;3;Taxa de Respondidas em 5 dias Úteis;SKY;SCM;86.13
2019;3;Taxa de Respondidas em 5 dias Úteis;TIM;SCM;80.72
2019;3;Taxa de Respondidas em 5 dias Úteis;VIVO;SCM;86.29
2019;3;Taxa de Respondidas no Período;ALGAR;SCM;100.0
2019;3;Taxa de Respondidas no Período;NET;SCM;99.81
2019;3;Taxa de Respondidas no Período;OI;SCM;99.96
2019;3;Taxa de Respondidas no Período;SERCOMTEL;SCM;98.09
2019;3;Taxa de Respondidas no Período;SKY;SCM;99.97
2019;3;Taxa de Respondidas no Período;TIM;SCM;99.67
2019;3;Taxa de Respondidas no Período;VIVO;SCM;99.62
2019;4;Indicador de Desempenho no Atendimento (IDA);ALGAR;SCM;75.61
2019;4;Indicador de Desempenho no Atendimento (IDA);NET;SCM;82.28
2019;4;Indicador de Desempenho no Atendimento (IDA);OI;SCM;49.94
2019;4;Indicador de Desempenho no Atendimento (IDA);SERCOMTEL;SCM;84.41
2019;4;Indicador de Desempenho no Atendimento (IDA);SKY;SCM;34.47
2019;4;Indicador de Desempenho no Atendimento (IDA);TIM;SCM;0.0
2019;4;Indicador de Desempenho no Atendimento (IDA);VIVO;SCM;65.33
2019;4;Índice de Reclamações;ALGAR;SCM;1.16
2019;4;Índice de Reclamações;NET;SCM;1.11
2019;4;Índice de Reclamações;OI;SCM;2.18
2019;4;Índice de Reclamações;SERCOMTEL;SCM;0.15
2019;4;Índice de Reclamações;SKY;SCM;3.02
2019;4;Índice de Reclamações;TIM;SCM;16.72
2019;4;Índice de Reclamações;VIVO;SCM;1.79
2019;4;Quantidade de acessos em serviço;ALGAR;SCM;592421.0
2019;4;Quantidade de acessos em serviço;NET;SCM;9485266.0
2019;4;Quantidade de acessos em serviço;OI;SCM;5825695.0
2019;4;Quantidade de acessos em serviço;SERCOMTEL;SCM;301410.0
2019;4;Quantidade de acessos em serviço;SKY;SCM;313789.0
2019;4;Quantidade de acessos em serviço;TIM;SCM;511431.0
2019;4;Quantidade de acessos em serviço;VIVO;SCM;7465481.0
2019;4;Quantidade de reabertas;ALGAR;SCM;59.0
2019;4;Quantidade de reabertas;NET;SCM;671.0
2019;4;Quantidade de reabertas;OI;SCM;1078.0
2019;4;Quantidade de reabertas;SERCOMTEL;SCM;5.0
2019;4;Quantidade de reabertas;SKY;SCM;25.0
2019;4;Quantidade de reabertas;TIM;SCM;1066.0
2019;4;Quantidade de reabertas;VIVO;SCM;747.0
2019;4;Quantidade de reclamações;ALGAR;SCM;688.0
2019;4;Quantidade de reclamações;NET;SCM;10516.0
2019;4;Quantidade de reclamações;OI;SCM;12727.0
2019;4;Quantidade de reclamações;SERCOMTEL;SCM;45.0
2019;4;Quantidade de reclamações;SKY;SCM;948.0
2019;4;Quantidade de reclamações;TIM;SCM;8553.0
2019;4;Quantidade de reclamações;VIVO;SCM;13339.0
2019;4;Quantidade de Reclamações no Período;ALGAR;SCM;2553.0
2019;4;Quantidade de Reclamações no Período;NET;SCM;35655.0
2019;4;Quantidade de Reclamações no Período;OI;SCM;37827.0
2019;4;Quantidade de Reclamações no Período;SERCOMTEL;SCM;180.0
2019;4;Quantidade de Reclamações no Período;SKY;SCM;3252.0
2019;4;Quantidade de Reclamações no Período;TIM;SCM;28355.0
2019;4;Quantidade de Reclamações no Período;VIVO;SCM;38951.0
2019;4;Quantidade de Respondidas;ALGAR;SCM;688.0
2019;4;Quantidade de Respondidas;NET;SCM;9604.0
2019;4;Quantidade de Respondidas;OI;SCM;12373.0
2019;4;Quantidade de Respondidas;SERCOMTEL;SCM;42.0
2019;4;Quantidade de Respondidas;SKY;SCM;948.0
2019;4;Quantidade de Respondidas;TIM;SCM;8552.0
2019;4;Quantidade de Respondidas;VIVO;SCM;13330.0
2019;4;Quantidade de Sol. Respondidas em até 5 dias;ALGAR;SCM;588.0
2019;4;Quantidade de Sol. Respondidas em até 5 dias;NET;SCM;9024.0
2019;4;Quantidade de Sol. Respondidas em até 5 dias;OI;SCM;10923.0
2019;4;Quantidade de Sol. Respondidas em até 5 dias;SERCOMTEL;SCM;37.0
2019;4;Quantidade de Sol. Respondidas em até 5 dias;SKY;SCM;831.0
2019;4;Quantidade de Sol. Respondidas em até 5 dias;TIM;SCM;6818.0
2019;4;Quantidade de Sol. Respondidas em até 5 dias;VIVO;SCM;11519.0
2019;4;Quantidade de Sol. Respondidas no Período;ALGAR;SCM;2553.0
2019;4;Quantidade de Sol. Respondidas no Período;NET;SCM;35624.0
2019;4;Quantidade de Sol. Respondidas no Período;OI;SCM;37813.0
2019;4;Quantidade de Sol. Respondidas no Período;SERCOMTEL;SCM;178.0
2019;4;Quantidade de Sol. Respondidas no Período;SKY;SCM;3251.0
2019;4;Quantidade de Sol. Respondidas no Período;TIM;SCM;28355.0
2019;4;Quantidade de Sol. Respondidas no Período;VIVO;SCM;38793.0
2019;4;Taxa de Reabertas;ALGAR;SCM;8.58
2019;4;Taxa de Reabertas;NET;SCM;6.99
2019;4;Taxa de Reabertas;OI;SCM;8.71
2019;4;Taxa de Reabertas;SERCOMTEL;SCM;11.9
2019;4;Taxa de Reabertas;SKY;SCM;2.64
2019;4;Taxa de Reabertas;TIM;SCM;12.46
2019;4;Taxa de Reabertas;VIVO;SCM;5.6
2019;4;Taxa de Respondidas em 5 dias Úteis;ALGAR;SCM;85.47
2019;4;Taxa de Respondidas em 5 dias Úteis;NET;SCM;85.81
2019;4;Taxa de Respondidas em 5 dias Úteis;OI;SCM;85.83
2019;4;Taxa de Respondidas em 5 dias Úteis;SERCOMTEL;SCM;82.22
2019;4;Taxa de Respondidas em 5 dias Úteis;SKY;SCM;87.66
2019;4;Taxa de Respondidas em 5 dias Úteis;TIM;SCM;79.71
2019;4;Taxa de Respondidas em 5 dias Úteis;VIVO;SCM;86.36
2019;4;Taxa de Respondidas no Período;ALGAR;SCM;100.0
2019;4;Taxa de Respondidas no Período;NET;SCM;99.91
2019;4;Taxa de Respondidas no Período;OI;SCM;99.96
2019;4;Taxa de Respondidas no Período;SERCOMTEL;SCM;98.89
2019;4;Taxa de Respondidas no Período;SKY;SCM;99.97
2019;4;Taxa de Respondidas no Período;TIM;SCM;100.0
2019;4;Taxa de Respondidas no Período;VIVO;SCM;99.59
